Alice In Wonderland,Charles Lutwidge Dodgson.
Where the Wild Things Are, Maurice Sendak.
Head First JavaScript, Elisabeth Freeman and Eric Freeman.
Beloved, Toni Morrison.
Relativity: The Special and the General Theory, Albert Einstein.
Slaughterhouse-Five, Kurt Vonnegut.
Crime and Punishment, Fyodor Dostoyevsky.
The Hobbit, J. R. R. Tolkien.
Frankenstein, Mary Shelley.
Astrophysics for People in a Hurry, Neil deGrasse Tyson.
As I Lay Dying, William Faulkner.
Catch-22, Joseph Heller.
A Song of Ice and Fire, George R. R. Martin.
To Kill a Mockingbird, Harper Lee.
The Grapes of Wrath, John Steinbeck.
Nineteen Eighty-Four, George Orwell.
A Brief History of Time, Stephen Hawking.
The Great Gatsby, F. Scott Fitzgerald.
The Adventures of Huckleberry Finn, Mark Twain.
Moby Dick, Herman Melville.
The Divine Comedy, Dante Alighieri.
Macbeth, William Shakespeare.
Paradise Lost, John Milton.
The Stand, Stephen King.
